raw,speaker,text,line_number_n,ngram_text
"Habl. Ah, bueno, bueno, yo nací en Caracas el diez de octubre de mil novecientos sesenta ... eh ... Mis padres vivían en un apartamento en ... en Las Mercedes, mientras estaba en ... en proyecto de construcción la casa en La Castellana. Después que estuvo lista la casa -soy sietemesino-",Hablante, ah bueno bueno yo nací en caracas el diez de octubre de mil novecientos sesenta ,1,ah bueno
"Habl. Ah, bueno, bueno, yo nací en Caracas el diez de octubre de mil novecientos sesenta ... eh ... Mis padres vivían en un apartamento en ... en Las Mercedes, mientras estaba en ... en proyecto de construcción la casa en La Castellana. Después que estuvo lista la casa -soy sietemesino-",Hablante, ah bueno bueno yo nací en caracas el diez de octubre de mil novecientos sesenta ,1,bueno bueno
"Habl. Ah, bueno, bueno, yo nací en Caracas el diez de octubre de mil novecientos sesenta ... eh ... Mis padres vivían en un apartamento en ... en Las Mercedes, mientras estaba en ... en proyecto de construcción la casa en La Castellana. Después que estuvo lista la casa -soy sietemesino-",Hablante, ah bueno bueno yo nací en caracas el diez de octubre de mil novecientos sesenta ,1,bueno yo
"Habl. Ah, bueno, bueno, yo nací en Caracas el diez de octubre de mil novecientos sesenta ... eh ... Mis padres vivían en un apartamento en ... en Las Mercedes, mientras estaba en ... en proyecto de construcción la casa en La Castellana. Después que estuvo lista la casa -soy sietemesino-",Hablante, ah bueno bueno yo nací en caracas el diez de octubre de mil novecientos sesenta ,1,yo nací
"Habl. Ah, bueno, bueno, yo nací en Caracas el diez de octubre de mil novecientos sesenta ... eh ... Mis padres vivían en un apartamento en ... en Las Mercedes, mientras estaba en ... en proyecto de construcción la casa en La Castellana. Después que estuvo lista la casa -soy sietemesino-",Hablante, ah bueno bueno yo nací en caracas el diez de octubre de mil novecientos sesenta ,1,nací en
"Habl. Ah, bueno, bueno, yo nací en Caracas el diez de octubre de mil novecientos sesenta ... eh ... Mis padres vivían en un apartamento en ... en Las Mercedes, mientras estaba en ... en proyecto de construcción la casa en La Castellana. Después que estuvo lista la casa -soy sietemesino-",Hablante, ah bueno bueno yo nací en caracas el diez de octubre de mil novecientos sesenta ,1,en caracas
"Habl. Ah, bueno, bueno, yo nací en Caracas el diez de octubre de mil novecientos sesenta ... eh ... Mis padres vivían en un apartamento en ... en Las Mercedes, mientras estaba en ... en proyecto de construcción la casa en La Castellana. Después que estuvo lista la casa -soy sietemesino-",Hablante, ah bueno bueno yo nací en caracas el diez de octubre de mil novecientos sesenta ,1,caracas el
"Habl. Ah, bueno, bueno, yo nací en Caracas el diez de octubre de mil novecientos sesenta ... eh ... Mis padres vivían en un apartamento en ... en Las Mercedes, mientras estaba en ... en proyecto de construcción la casa en La Castellana. Después que estuvo lista la casa -soy sietemesino-",Hablante, ah bueno bueno yo nací en caracas el diez de octubre de mil novecientos sesenta ,1,el diez
"Habl. Ah, bueno, bueno, yo nací en Caracas el diez de octubre de mil novecientos sesenta ... eh ... Mis padres vivían en un apartamento en ... en Las Mercedes, mientras estaba en ... en proyecto de construcción la casa en La Castellana. Después que estuvo lista la casa -soy sietemesino-",Hablante, ah bueno bueno yo nací en caracas el diez de octubre de mil novecientos sesenta ,1,diez de
"Habl. Ah, bueno, bueno, yo nací en Caracas el diez de octubre de mil novecientos sesenta ... eh ... Mis padres vivían en un apartamento en ... en Las Mercedes, mientras estaba en ... en proyecto de construcción la casa en La Castellana. Después que estuvo lista la casa -soy sietemesino-",Hablante, ah bueno bueno yo nací en caracas el diez de octubre de mil novecientos sesenta ,1,de octubre
